model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,łþ,11,only_token,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,11.530000000000001
Gemma 27B,łþ,11,only_token,60,srv54_parallel_20260313,4,200,51.0,100.0,49.0,0.0,7.356296296296296
Gemma 27B,łþ,11,only_token,65,srv54_parallel_20260313,4,200,58.5,100.0,41.5,0.0,3.9195441595441594
Gemma 27B,łþ,11,only_token,70,srv54_parallel_20260313,4,200,67.0,100.0,33.0,0.0,2.62249354005168
Gemma 27B,αβ,7,com_cot,51,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,2.5
Gemma 27B,αβ,7,com_cot,55,srv54_parallel_20260313,4,200,4.0,4.0,0.0,96.0,3.0666666666666664
Gemma 27B,αβ,7,com_cot,60,srv54_parallel_20260313,4,200,9.0,9.0,0.0,91.0,2.7023809523809526
Gemma 27B,αβ,7,com_cot,65,srv54_parallel_20260313,4,200,19.5,19.5,0.0,80.5,2.2703200938495054
Gemma 27B,αβ,7,com_cot,70,srv54_parallel_20260313,4,200,32.5,32.5,0.0,67.5,2.286875
Gemma 27B,αβ,7,only_token,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,αβ,7,only_token,55,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,αβ,7,only_token,60,srv54_parallel_20260313,4,200,2.5,2.5,0.0,97.5,2.8
Gemma 27B,αβ,7,only_token,65,srv54_parallel_20260313,4,200,12.0,12.0,0.0,88.0,2.625
Gemma 27B,αβ,7,only_token,70,srv54_parallel_20260313,4,200,27.0,27.0,0.0,73.0,2.752314814814815
Gemma 27B,αβ,9,com_cot,51,srv54_parallel_20260313,4,200,51.5,100.0,48.5,0.0,25.64107142857143
Gemma 27B,αβ,9,com_cot,55,srv54_parallel_20260313,4,200,53.0,100.0,47.0,0.0,20.101025641025643
Gemma 27B,αβ,9,com_cot,60,srv54_parallel_20260313,4,200,60.0,100.0,40.0,0.0,13.234112554112555
Gemma 27B,αβ,9,com_cot,65,srv54_parallel_20260313,4,200,73.0,100.0,27.0,0.0,8.12622881130772
Gemma 27B,αβ,9,com_cot,70,srv54_parallel_20260313,4,200,84.0,100.0,16.0,0.0,5.026078013770569
Gemma 27B,αβ,9,only_token,51,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,4.0
Gemma 27B,αβ,9,only_token,55,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,3.0
Gemma 27B,αβ,9,only_token,60,srv54_parallel_20260313,4,200,5.0,5.0,0.0,95.0,3.857142857142857
Gemma 27B,αβ,9,only_token,65,srv54_parallel_20260313,4,200,20.5,20.5,0.0,79.5,2.433333333333333
Gemma 27B,αβ,9,only_token,70,srv54_parallel_20260313,4,200,34.5,34.5,0.0,65.5,2.2575513196480936
Gemma 27B,αβ,11,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,12.41
Gemma 27B,αβ,11,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,8.73
Gemma 27B,αβ,11,com_cot,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,5.48
Gemma 27B,αβ,11,com_cot,65,srv54_parallel_20260313,4,200,58.0,100.0,42.0,0.0,2.8933653846153846
Gemma 27B,αβ,11,com_cot,70,srv54_parallel_20260313,4,200,67.5,100.0,32.5,0.0,2.3389872672130734
Gemma 27B,αβ,11,only_token,51,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,3.5
Gemma 27B,αβ,11,only_token,55,srv54_parallel_20260313,4,200,3.0,3.0,0.0,97.0,2.6666666666666665
Gemma 27B,αβ,11,only_token,60,srv54_parallel_20260313,4,200,8.0,8.0,0.0,92.0,3.1666666666666665
Gemma 27B,αβ,11,only_token,65,srv54_parallel_20260313,4,200,33.5,33.5,0.0,66.5,2.5049075391180655
Gemma 27B,αβ,11,only_token,70,srv54_parallel_20260313,4,200,58.0,58.0,0.0,42.0,2.0075758349678545
Gemma 27B,⊕⊖,7,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,16.29
Gemma 27B,⊕⊖,7,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,12.79
Gemma 27B,⊕⊖,7,com_cot,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,8.940000000000001
Gemma 27B,⊕⊖,7,com_cot,65,srv54_parallel_20260313,4,200,57.0,100.0,43.0,0.0,5.633170478170478
Gemma 27B,⊕⊖,7,com_cot,70,srv54_parallel_20260313,4,200,63.0,100.0,37.0,0.0,3.8897521551724137
Gemma 27B,⊕⊖,7,only_token,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.44
Gemma 27B,⊕⊖,7,only_token,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.27
Gemma 27B,⊕⊖,7,only_token,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.09
Gemma 27B,⊕⊖,7,only_token,65,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,1.71
Gemma 27B,⊕⊖,7,only_token,70,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,1.45
Gemma 27B,⊕⊖,9,com_cot,51,srv54_parallel_20260313,4,200,52.0,100.0,48.0,0.0,24.905172413793103
Gemma 27B,⊕⊖,9,com_cot,55,srv54_parallel_20260313,4,200,54.0,100.0,46.0,0.0,19.153389423076923
Gemma 27B,⊕⊖,9,com_cot,60,srv54_parallel_20260313,4,200,59.5,100.0,40.5,0.0,12.80494994994995
Gemma 27B,⊕⊖,9,com_cot,65,srv54_parallel_20260313,4,200,72.5,100.0,27.5,0.0,7.522407902554962
Gemma 27B,⊕⊖,9,com_cot,70,srv54_parallel_20260313,4,200,83.5,100.0,16.5,0.0,4.48979803479298
Gemma 27B,⊕⊖,9,only_token,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.96
Gemma 27B,⊕⊖,9,only_token,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.57
Gemma 27B,⊕⊖,9,only_token,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,2.27
Gemma 27B,⊕⊖,9,only_token,65,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,1.83
