model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,30,55,50,6.0,6.0,0.0,94.0,3.3333333333333335
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,30,60,50,16.0,16.0,0.0,84.0,3.0
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,60,60,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,90,60,50,2.0,2.0,0.0,98.0,7.0
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,30,65,50,54.0,54.0,0.0,46.0,2.2962962962962963
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,60,65,50,28.000000000000004,28.000000000000004,0.0,72.0,2.7857142857142856
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,90,65,50,8.0,8.0,0.0,92.0,2.75
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,120,65,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,30,70,50,66.0,66.0,0.0,34.0,1.7575757575757576
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,60,70,50,46.0,46.0,0.0,54.0,2.260869565217391
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,90,70,50,22.0,22.0,0.0,78.0,2.6363636363636362
Gemma 27B,ab,9,only_token,srv54_parallel_20260313,120,70,50,18.0,18.0,0.0,82.0,2.5555555555555554
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,30,51,50,50.0,100.0,50.0,0.0,3.48
